wav,id,ew
3529.823,Fe I,148.0
3529.994,Fe I,20.0
3530.232,Zr I,14.0
3530.391,Fe I,92.0
3530.592,N I,34.0
3530.777,V I,75.0
3530.965,Fe I,23.0
3531.105,Cr I,4.5
3531.44,Fe I,60.0
3531.709,Dy I,45.0
3531.84,Mn I,68.0
3532.001,Mn I,81.0
3532.12,Mn I,101.0
3532.579,Fe I,76.0
3532.635,Fe I,50.0
3532.899,Cr I,12.0
3533.014,Fe I,97.0
3533.203,Fe I,223.0
3533.364,Fe I,72.0
3533.694,I V,21.0
3533.858,T I,43.0
3534.064,Ce I,14.0
3534.53,Fe I,44.0
3534.778,Co I,21.0
3534.918,Fe I,66.0
3535.158,Zr I,3.0
3535.304,Ti II,25.0
3535.412,Ti II,79.0
3535.518,Ti II,14.0
3535.624,Fe I,25.0
3535.726,Sc I,73.0
3535.92,Co I,4.5
3536.023,Dy I,23.0
3536.567,Fe I,189.0
3536.963,Zr I,36.0
3537.243,Cr I,40.0
3537.496,Fe I,70.0
3537.63,N I,31.0
3537.737,Fe I,83.0
3537.903,Fe I,107.0
3538.257,V I,40.0
3538.31,Fe I,60.0
3538.501,Dy I,20.0
3538.559,Fe I,63.0
3538.69,Fe I,7.5
3538.795,Fe I,29.0
3539.076,Ce I,12.0
3539.371,Fe I,3.0
3539.542,Fe I,2.5
3540.126,Fe I,93.0
3540.715,Fe I,95.0
3540.808,Fe I,43.0
3540.966,Fe I,21.0
3541.095,Fe I,214.0
3541.332,V I,16.0
3542.09,Fe I,224.0
3542.255,Fe I,47.0
3542.331,Dy I,10.0
3542.571,Fe I,60.0
3542.633,Zr I,18.0
3543.001,Co I,16.0
3543.101,Fe I,11.0
3543.265,Co I,44.0
3543.389,Fe I,59.0
3543.495,V I,13.0
3543.682,Fe I,61.0
3543.933,Rh I,5.0
3544.634,Fe I,57.0
3545.052,Co I,4.0
3545.194,V I,73.0
3545.339,V I,3.0
3545.512,Fe I,43.0
3545.644,Fe I,108.0
3545.829,Fe I,72.0
3546.206,Fe I,42.0
3546.709,Co I,13.0
3546.779,Dy I,7.0
3547.199,Fe I,100.0
3547.369,Ca I,18.0
3547.67,Mn I,28.0
3547.799,Mn I,124.0
3548.19,Mn I,139.0
3548.451,Co I,38.0
3548.545,Fe I,28.0
3548.738,Cr I,6.0
3549.009,Y I,54.0
3549.371,Gd I,26.0
3549.525,Zr I,12.0
3549.72,Zr I,5.0
3549.872,Fe I,84.0
3550.106,Ca I,9.5
3550.222,Dy I,43.0
3550.486,Zr I,19.0
3550.599,Co I,87.0
3551.112,Fe I,53.0
3551.533,N I,94.0
3551.659,Co I,44.0
3551.957,Zr I,56.0
3552.112,Fe I,70.0
3552.725,Fe I,55.0
3552.845,Fe I,120.0
3552.991,Fe I,37.0
3553.095,Pd I,48.0
3553.275,V I,12.0
3553.483,Ni I,96.0
3553.746,Fe I,116.0
3553.974,Fe I,3.0
3554.122,Fe I,127.0
3554.452,Fe I,46.0
3554.51,Fe I,86.0
3554.648,Fe I,41.0
3554.937,Fe I,404.0
3555.177,V I,6.0
3555.617,Cr I,4.0
3555.724,Fe I,12.0
3555.947,Co I,16.0
3556.15,T I,8.5
3556.597,Zr I,23.0
3556.689,V II,95.0
3556.803,V II,143.0
3556.896,Fe I,243.0
3557.064,Fe I,5.0
3558.072,Fe I,30.0
3558.21,Fe I,6.0
3558.532,Sc II,485.0
3558.783,Co I,38.0
3559.079,Fe I,41.0
3559.207,Fe I,25.0
3559.464,~Fe I,
3559.814,Cr I,24.0
3559.923,N I,48.0
3560.076,Fe I,42.0
3560.296,Co I,23.0
3560.589,V II,62.0
3560.704,V II,75.0
3560.802,Co I,32.0
3560.897,Co I,82.0
3561.136,Co I,16.0
3561.582,Ti II,58.0
3561.656,Ti II,8.5
3561.757,Ni I,77.0
3561.903,Ni I,57.0
3562.096,Co I,32.0
3562.27,Fe I,40.0
3562.607,Fe I,11.0
3562.926,Co I,37.0
3563.159,Dy I,20.0
3563.611,Fe I,23.0
3563.716,V I,4.0
3563.926,Cr I,4.0
3564.126,Fe I,71.0
3564.279,Cr I,2.5
3564.398,Ca I,12.0
3564.565,Fe I,71.0
3564.683,Fe I,11.0
3564.959,Co I,70.0
3565.129,Cr I,7.5
3565.306,Fe I,13.0
3565.396,Fe I,990.0
3565.596,Fe I,49.0
3565.838,Fe I,16.0
3565.972,T I,41.0
3566.088,Zr I,13.0
3566.175,V I,53.0
3566.315,Ni I,9.5
3566.383,Ni I,458.0
3566.589,Fe I,28.0
3566.922,Sm I,38.0
3567.042,Fe I,82.0
3567.377,Fe I,58.0
3567.696,Fe I,110.0
3567.944,N I,22.0
3568.248,Sm I,28.0
3568.448,Fe I,70.0
3568.55,Tb I,5.0
3568.829,Fe I,72.0
3568.983,Fe I,82.0
3569.142,Cr I,6.5
3569.384,Co I,116.0
3569.51,Co I,86.0
3569.819,Mn I,37.0
3570.044,Fe I,10.0
3570.134,Fe I,1380.0
3570.276,Fe I,42.0
3570.597,Fe I,6.0
3571.233,Fe I,60.0
3571.875,Ni I,237.0
3572.016,Ni I,64.0
3572.321,Zr II,39.0
3572.478,Zr II,106.0
3572.573,Sc II,112.0
3572.751,Sc II,30.0
3573.067,Fe I,40.0
3573.278,N I,6.0
