wav,strength,id
10423.76,2,Fe I
10435.36,ON,Fe I
10452.756,3,Fe I
10453.756,,Fe I
10455.455,8,S I
10456.753,4,S I
10459.436,7,S I
10460.08,,Ti I
10469.68,7,Fe I
10486.289,3,Cr I
10496.17,3,Ti I
10510.05,-1,Cr I
10511.631,-1N,P I
10529.59,1N,P I
10530.558,2d,N I
10532.236,4,Fe I
10553.02,,Ti I
10555.7,O,Fe I
10566.1,,Ti I
10577.151,1,Fe I
10581.538,1,P I
10582.155,2,S I
10584.77,O,Ti I
10585.137,12,Si I
10596.9,-2,P I
10603.426,10,Si I
10607.76,,Ti I
10616.73,1,Fe I
10627.63,8,Si I
10647.65,-1,Cr I
10660.99,10,Si I
10661.63,0,Ti I
10667.48,2,Cr I
10668.81,-3N,C I
10672.22,0,Cr I
10677.01,-1,Ti I
10681.46,-3,P I
10683.09,10,C I
10685.36,8,C I
10689.71,8,Si I
10691.24,12,C I
10694.25,8,Si I
10707.36,8,C I
10725.2,0,Fe I
10726.36,,Ti I
10727.42,9,Si I
10729.588,7,C I
10732.81,-1N,Ti I
10749.39,12,Si I
10754.02,0,C I
10770.4,-3N,C I
10774.85,,Ti I
10780.69,-2N,Fe I
10783.07,1,Fe I
10784.57,3,Si I
10786.85,7,S I
10796.11,-1,S I
10801.32,-2,Cr I
10811.14,5N,Mg I
10816.9,-3Nd?,Cr I
10818.31,1,Fe I
10820.39,,Ti I
10821.64,-1N,Cr I
10827.14,12,Si I
10830.38,5NN,He I
10833.47,-3,Ca I
10834.02,5,Na I
10839.03,0,Ca I
10843.88,5,Si I
10869.57,4,Si I
10879.76,-3,Ca I
10881.85,-2,Fe I
10882.84,3,S I
10883.84,,Si I
10884.31,1,Fe I
10885.37,3,Si I
10890.13,-1,Fe I
10891.32,-3,N I
10914.35,,Mg II
10914.88,,Sr II
10938.1,,"Paschen$\gamma$, n=6)"
10965.47,,Mg I
10979.34,4,S I
10982.1,a,S I
10984.44,3dnl,S I
