wav,strength,id
7939.23,-2,CN
7942.0,-2,Cr I
7944.001,8N,Si I
7944.38,-3,CN
7945.8588,7,Fe I
7947.63,1,Rb I
7948.78,-2,CN
7950.42,-3,CN
7954.57,-2 ),CN
7954.97,-1N,Fe I
7955.71,1,Fe I
7956.71,-1,Zr I
7957.01,-2,CN
7958.21,-3,CN
7959.148,1,Fe I
7962.606,-2,CN
7965.55,-3,Fe I
7967.1,-2,CN
7968.473,-1,CN
7970.3,3N,S I
7973.79,-3,CN
7974.69,-2,CN
7977.215,-2,CN
7978.834,o,Ti I
7979.81,-3N,CN
7981.15,-3,CN
7984.615,-3,CN
7987.97,-2,CN
7992.322,-1,CN
7993.048,-2N,Al I
7995.019,-1,S I
7996.485,-1,Ti I
7998.953,8,Fe I
7999.88,-3,CN
8002.4,-2,CN
8008.455,-1,CN
8009.38,-3N,S I
8010.088,-1,CN
8017.04,-3,CN
8024.547,-1,Fe I
8024.861,-1,Ti I
8026.38,-2,CN
8027.39,-3,V I
8027.93,-1,Fe I
8028.318,5,Fe I
8032.77,-3,CN
8034.6,-3,N I
8034.962,-1,Ti I
8035.608,ON,S I
8040.28,-3,CN
8041.77,-3N,CN
8043.874,-1,CN
8046.0588,8,Fe I
8046.8,-3,S I
8062.594,1,CN
8063.1,1,Zr I
8064.106,1,CN
8066.07,1,Ti I
8067.26,1,CN
8068.261,1,Ti I
8070.34,1,Zr I
8072.162,1,Fe I
8074.43,1,CN
8075.1588,1,Fe I
8080.582,1,Ti I
8081.523,1,CN
8082.54,1,CN
8085.175,1,Fe I
8086.18,1,S II
8092.64,2,Cu I
8093.232,3,S I
8093.937,1,Co I
8096.02,-1,N17
8096.874,1,Fe I
8098.746,7N,Mg I
8107.12,-2,CN
8108.312,-2,Fe I
8110.09,-2,CN
8112.179,-2,Fe I
8114.89,0,CN
8126.227,-2,CN
8129.35,-3,Fe I
8133.04,1,Zr I
8145.478,-1,Fe I
8146.67,-3,Fe I
8151.95,-3,Co I
8160.98,1N,V I
8171.239,O -1,Fe I
8179.48,-3,S I
8183.3,11N,Na I
8186.791,2,Fe I
8194.8365,12N,Na I
8196.51,-2,Fe I
8204.09,-2,Fe I
8204.95,) ON,Fe I
8207.749,1,Fe I
8208.56,-2,Co I
8213.041,9N,Mg I
8216.303,-2,N I
8220.388,10,Fe I
8222.88,-3,N I
8230.63,-3,S I
8232.319,5,Fe I
8239.1328,2,Fe I
8241.6,1,V I
8248.137,1,Fe I
8248.802,1,Ca II
8253.6,1,V I
8253.81,-3,Fe I
8254.32,-3,Fe I
8256.0,1,V I
8263.85,0,Fe I
8264.276,0,Fe I
8269.644,0,Fe I
8275.899,1,Fe I
8293.52,4,Fe I
8299.985,-1,Fe I
8303.17,-3,Fe I
8307.54,1,Ti I
8327.0618,10,Fe I
8331.926,1,Fe I
8334.33,1,Ti I
8335.15,1,C I
8338.343,-2,S I
8339.413,4,Fe I
8342.866,0,Fe I
8345.19,-3,Fe I
8346.131,1,Mg I
8348.304,0,Cr I
8349.02,1,Fe I
8353.123,-2,Ti I
8355.15,-3,Fe I
8356.02,-3,Fe I
8358.504,1N,Fe I
8360.795,2,Fe I
8363.58,1,Ti I
8364.243,1,Ti I
8365.64,3,Fe I
8369.858,-1,Fe I
8372.777,-2,Co I
8377.87,1,Ti I
8382.217,-3,Fe I
8382.541,1,Ti I
8382.781,1,Ti I
8386.35,1,Ti I
8387.782,10,Fe I
8389.521,-1,Ti I
8396.9,0,Ti I
8401.401,1,Fe I
8412.356,a,Ti I
8414.084,0,Zr I
8416.934,-2N,Ti I
8417.51,1,Ti I
8417.96,-3,S I
8423.14,-2NN,Ti I
8424.139,a,Fe I
8425.889,-3,Fe I
8434.44,-2N,Ti I
8434.9688,4,Ti I
8435.655,3,Ti I
8436.5143,2,Ti I
8438.92,-2,Ti I
8439.581,1,Fe I
8443.0,1,Ti I
8443.975,3,S I
8444.377,-3,S I
8446.359,1,O I
8447.34,-3,Fe I
8450.247,-1N?,Cr I
8450.88,-1N,Ti I
8455.295,-3,Cr I
8457.15,1,Ti I
8458.99,-3N,Fe I
8461.472,-3,Fe I
8464.03,-3,Fe I
8464.69,1,Zr I
8465.173,-2,Fe I
8466.102,-3,Fe I
8466.51,-3,Fe I
8467.158,-3,Ti I
8468.4183,9,Fe I
8471.7443,a,Fe I
8480.636,O,Fe I
8483.16,1,Ti I
8493.796,1,Fe I
8494.44,1,Ti I
8496.075,1,Ti I
8496.483,1,Fe I
8496.994,1,Fe I
8498.062,1,Ca II
8501.553,1,S I
8502.228,1,S I
8509.65,1,Fe I
8512.97,1,Fe I
8514.0828,1,Fe I
8514.63,1,Siip
8515.122,1,Fe I
8518.011,1,Ti I
8518.397,1,Ti I
8519.1,1,Fe I
8525.008,-1,Fe I
8527.847,O,Fe I
8531.51,-2,Ti I
8536.163,3N,S I
8538.021,3,Fe I
8539.33,-3,Ti I
8542.144,25,Ca II
8548.079,-1,Ti I
8548.863,-3,Cr I
8550.366,O,S I
8555.569,-2,Cr I
8556.7978,8N,Si I
8560.02,-3,Fe I
8562.109,O,Fe I
8565.456,-3d?,Ti I
8567.776,-1,Fe I
8569.67,1,Ti I
8571.8078,a,Fe I
8576.48,-3,Fe I
8578.43,1,Ti I
8579.08,-2,S I
8582.2718,6,Fe I
8584.791,-2,Fe I
8585.577,O,S I
8586.211,O,N17
8592.119,-2,Fe I
8592.969,3N,Fe I
8595.9688,3N,S I
8597.059,1N,S I
8598.17,-3d?,Ti I
8598.8368,3,Fe I
8601.03,-3,Ti I
8606.0,-3,S I
8606.383,-2,N I
8607.075,1,Fe I
8610.609,1,Fe I
8611.812,1,Fe I
8612.9,1,Ti I
8618.41,1,Ti I
8621.618,1,Fe I
8632.424,1,Fe I
8636.26,1,Cr I
8637.003,1,N I
8643.35,1,Fe I
8648.472,1,Si I
8652.475,1,Fe I
8654.436,1,Fe I
8656.672,1,Fe I
8661.97,1,Fe I
8663.723,1,Fe I
8667.366,1,S I
8670.2,1,S I
8670.627,1,S I
8671.308,1,S I
8671.879,1,Fe I
8674.756,1,Fe I
8675.37,-1,Ti I
8678.95,-2,S I
8679.646,2,Fe I
8680.097,-1,N I
8680.405,o,S I
8680.82,-3,Fe I
8682.987,-1,Ti I
8683.384,-1,N I
8686.75,-3,Fe I
8688.642,11N,Fe I
8689.788,ON,Fe I
8692.342,-2,Ti I
8693.958,O,S I
8694.641,2,S I
8698.717,o,Fe I
8700.314,-2,Fe I
8700.949,-1N,Mn I
8702.51,-1,N I
8703.15,-3,N I
8703.73,-3N,Mn I
8710.398,5,Fe I
8711.671,-2,N I
8717.833,1,Mg I
8719.66,1,Ti I
8727.19,-3,Fe I
8728.024,4,Si I
8728.604,/a,Si I
8729.171,1,Fe I
8734.74,-3,Ti I
8736.04,10N,Mg I
8737.4,-2,Mn I
8740.85,Od,Mn I
8742.466,6N,Si I
8747.4388,0,Fe I
8751.198,1N,S I
8752.025,6N,Si I
8757.199,4,Fe I
8763.978,6,Fe I
8766.417,-1,S I
8767.68,-3Nd?,Fe I
8770.681,O,N I
8772.884,5,Al I
8773.9068,6,Al I
8779.08,-3,Fe I
8784.4448,1,Fe I
8790.4548,6,Fe I
8793.3508,6,Fe I
8796.491,2,Fe I
8798.07,-3,Fe I
8800.56,1,Y I
8801.81,1,Fe I
8804.637,1,Fe I
8805.19,1,Fe I
8806.775,1,Mg I
8808.173,1,Fe I
8809.406,1,N I
8816.876,1,Fe I
8819.16,1,Co I
8819.35,1,Ti I
8824.2348,1,Fe I
8828.103,1,Fe I
8828.87,1,Al I
8834.025,1,Fe I
8838.441,1,Fe I
8841.23,1,Al I
8846.75,1,Fe I
8855.35,1,Ti I
8862.0,1,Paschen 11)
8862.563,1,Ni I
8863.588,1,Fe I
8866.943,1,Fe I
8868.444,1,Fe I
8877.04,1,N I
8878.271,1,Fe I
8878.775,1,Fe I
8880.69,1,S I
8883.68,1,S I
8884.24,1,S I
8887.07,1,Fe I
8892.11,1,Fe I
8892.738,1,S I
8895.98,1,Fe I
8899.222,1,S17
8902.926,1,Fe I
8905.989,1,Fe I
8912.101,1,Ca II
8920.036,1,Fe I
8922.643,1,Fe I
8923.57,1,Al I
8925.288,1,S I
8925.91,1,Cr I
8927.392,1,Ca II
8929.072,1,Fe I
8931.76,1,Fe I
8943.058,1,Fe I
8945.198,1,Fe I
8947.197,1,Cr I
8949.06,1,S I
8950.217,1,Fe I
8956.3,1,Fe I
8959.86,1,Fe I
8965.94,1,N I
8967.59,1,Fe I
8968.2,1,N I
8975.413,1,Fe I
8976.88,1,Cr I
8978.16,1,Fe I
8984.898,1,Fe I
8994.66,1,Fe I
8999.58,1,Fe I
9008.52,1,Fe I
9009.835,1,Cr I
9010.573,1,Fe I
9013.98,1,Fe I
9014.92,1,Paschen 10
9019.77,0,Fe I
9021.57,3,Cr I
9024.38,2,Fe I
9027.36,-1,Ti I
9030.75,0,Fe I
9035.88,0,Cr I
9036.72,-2N,Fe I
9038.79,-2N,Fe I
9061.443,7,C I
9062.48,3,C I
9070.416,1,Fe I
9078.28,7,C I
9080.532,1Ns,Fe I
9084.22,-2,Fe I
9088.391,11nl,Fe I
9089.422,3,Fe I
9090.72,1,Ti I
9094.82,8,C I
9103.67,0,Fe I
9111.877,9,C I
9116.26,1,Fe I
9117.08,-1,Fe I
9140.12,-3,CN
9146.16,3,Fe I
9148.0,0,Fe I
9156.93,-1,Fe I
9164.57,1,Fe I
9173.12,-2,Fe I
9173.73,-1,Fe I
9188.346,-3,c
9199.39,-2,Fe I
9203.21,-3d?,Fe I
9210.036,3,Fe I
9218.251,3,Mg II
9225.49,-3,Fe I
9228.101,61,S I
9229.0,1,Paschen 9
9235.2,-1,C I
9235.73,-1,C I
9237.56,6,S I
9242.26,1,Fe I
9244.25,ONN,Mg II
9246.5,1,Fe I
9248.1,-3,Fe I
9248.76,0,Fe I
9255.79,10N,Mg I
9258.28,3,Fe I
9259.063,3,Fe I
9289.44,-1,Fe I
9290.468,2,Cr I
9294.06,-3,Cr I
9294.659,1N,Fe I
9297.14,1,Fe I
9297.97,1N,Fe I
9318.22,1,Fe I
9359.063,1,Fe I
9372.86,2,Fe I
9382.98,-1,Fe I
9383.423,-1,Fe I
9385.77,-2,N I
9392.8,-1,Fe I
9393.41,ON,S I
9396.68,-3,N I
9401.14,1N,Fe I
9403.27,1,Fe II
9404.9,1,Fe I
9405.74,5N,C I
9409.59,-3NN,Fe I
9414.95,10N,Mg I
9423.14,-3,Fe I
9430.0,-2,Fe I
9433.34,-3,Fe I
9447.03,3,Cr I
9448.09,-3,Fe I
9462.94,2,Fe I
9465.98,-2,Na I
9506.02,1,Ti I
9513.23,1,Fe I
9520.03,3,Ni I
9546.0,1,"Paschen$\epsilon$"
9547.39,-3,Zr I
9569.93,a,Fe I
9572.56,-3,Fe I
9573.65,-3N,Fe I
9574.29,3,Cr I
9602.05,-3,Fe I
9603.143,4Nd,C I
9611.66,1,V I
9620.98,3N,C I
9634.17,1,Fe I
9635.41,0,CN
9638.39,a,Ti I
9647.34,0,Ti I
9653.14,2,Fe I
9658.4,8N,C I
9659.07,-1,Fe I
9675.571,4,Ti I
9688.87,1,Ti I
9689.37,a,S I
9705.679,0,Ti I
9716.8,-3,Ti I
9718.92,-3,Ti I
9728.55,-1,Ti I
9746.9,1,Ti I
9747.26,-3,Fe I
9753.1,-3,Fe I
9763.32,3,Fe I
9763.86,-1N,Fe I
9764.37,-3,Fe I
9770.3,-3,Ti I
9771.07,-3,Fe I
9781.15,-1,C I
9783.23,-3N ),Ti I
9783.59,1,Ti I
9783.93,-3,Fe I
9786.66,-3,Fe I
9787.67,-3,Ti I
9796.73,-3,P I
9800.29,-1,Fe I
9800.8,-3,Fe I
9811.47,-3,Fe I
9822.36,1,Zr I
9834.12,1,Fe I
9839.36,1,S I
9861.746,1,Fe I
9881.54,0,Fe I
9887.05,1,S I
9889.0503,5,Fe I
9901.68,1,CN
9913.19,2,S I
9920.54,-1,Fe I
9923.54,-3,Ti I
9924.41,O,Fe I
9927.47,-2N,Ti I
9937.09,-3N,Fe I
9941.46,2N,(Ti I)
9944.22,3,Fe I
9949.05,-2,Ti I
9950.62,O,Fe I
9951.19,o,Fe I
9953.51,-1,Fe I
9955.89,-1,Fe I
9961.38,ON,Na I
9967.3,1,Fe I
9970.23,-2,Fe I
9977.69,-1,Fe I
9980.48,2,Fe I
9993.17,1,Mg I
9997.87,1,Ti I
10003.19,-3,Ti I
10011.65,-3,Ti I
10012.21,-2,Fe I
10016.76,a,Fe I
10019.81,o,Fe I
10022.24,-1,Fe I
10025.86,2N,S I
10032.89,o,Fe I
10034.51,-2,Ti I
10036.67,5,Sr II
10048.9,1,Ti I
10049.27,(50NN),"Paschen$\delta$"
10057.68,2,Ti I
10058.36,-3,Fe I
10059.81,-3,Ti I
10061.37,-2,N I
10065.07,8,Fe I
10068.39,2,S17
10070.58,-2,Fe I
10071.86,1,Fe I
10081.43,o,Fe I
10084.41,o,Fe I
10086.31,-1,Fe I
10114.06,1,Fe I
10117.74,-3,Fe I
10137.14,-1,Fe I
10142.85,O,Fe I
10143.48,-3,Fe I
10145.03,-3,Fe I
10145.58,9,Fe I
10149.13,-3,Fe I
10153.096,3nl,S I
10155.19,1,Fe I
10156.16,o,S I
10156.56,o,Fe I
10167.5,2,Fe I
10170.58,-3,Ti I
10179.87,-1,T17
10189.26,-3,Ti I
10193.245,4,Ni I
10195.12,2,Fe I
10216.335,10,Fe I
10218.415,3,Fe I
10230.8,1,C I
10235.03,-1,c
10243.74,0,C I
10247.04,1,C I
10250.13,-2,C I
10252.57,-1,C I
10254.36,1,C I
10283.87,-2,Fe I
10288.95,6,S I
10295.1,-3N,N I
10302.62,2,N I
10307.46,-3N,Fe I
10311.96,-1,Fe I
10312.55,-1,c
10321.06,-2,N17
10327.36,7,Sr II
10330.22,2,N I
10332.36,-1,Fe I
10333.21,-1,Fe I
10340.9,3,Fe I
10343.84,8,Ca I
10347.975,3,Fe I
10353.82,2,Fe I
10362.72,-1,Fe I
10364.05,0,Fc I
10368.52,1,C I
10371.285,9,Si I
10378.62,3 ),N I
10379.04,-1,Fe I
10388.77,-2,Si I
10395.795,4,Fe I
10396.81,2,Ti I
10423.04,2,Fe I
10423.76,2,Fe I
10435.36,ON,Fe I
10452.756,3,Fe I
10453.756,1,Fe I
10455.455,8,S I
10456.753,4,S I
10459.436,7,S I
10460.08,1,Ti I
10469.68,7,Fe I
10486.289,3,Cr I
10496.17,3,Ti I
10510.05,-1,Cr I
10511.631,-1N,P I
10529.59,1N,P I
10530.558,2d,N I
10532.236,4,Fe I
10553.02,1,Ti I
10555.7,O,Fe I
10566.1,1,Ti I
10577.151,1,Fe I
10581.538,1,P I
10582.155,2,S I
10585.137,12,Si I
10596.9,-2,P I
10603.426,10,Si I
10607.76,1,Ti I
10616.73,1,Fe I
10627.63,8,Si I
10647.65,-1,Cr I
10660.99,10,Si I
10661.63,0,Ti I
10667.48,2,Cr I
10668.81,-3N,C I
10672.22,0,Cr I
10677.01,-1,Ti I
10681.46,-3,P I
10683.09,10,C I
10685.36,8,C I
10689.71,8,Si I
10691.24,12,C I
10694.25,8,Si I
10707.36,8,C I
10725.2,0,Fe I
10726.36,1,Ti I
10727.42,9,Si I
10729.588,7,C I
10732.81,-1N,Ti I
10749.39,12,Si I
10754.02,0,C I
10770.4,-3N,C I
10774.85,1,Ti I
10780.69,-2N,Fe I
10783.07,1,Fe I
10784.57,3,Si I
10786.85,7,S I
10796.11,-1,S I
10801.32,-2,Cr I
10811.14,5N,Mg I
10816.9,-3Nd?,Cr I
10818.31,1,Fe I
10820.39,1,Ti I
10821.64,-1N,Cr I
10827.14,12,Si I
10830.38,5NN,He I
10833.47,-3,Ca I
10834.02,5,Na I
10839.03,0,Ca I
10843.88,5,Si I
10869.57,4,Si I
10879.76,-3,Ca I
10881.85,-2,Fe I
10882.84,3,S I
10883.84,1,Si I
10884.31,1,Fe I
10885.37,3,Si I
10890.13,-1,Fe I
10891.32,-3,N I
10893.7,-3N,S I
10896.33,2,Fe I
10905.74,1,Cr I
10914.25,3,Mg II
10914.88,5,Sr II
10930.06,-3N,Cr I
10938.1,1,"Paschen$\gamma$"
10951.82,0,Mg II
10961.18,-2,Fe I
10965.47,1,Mg I
10979.34,4,S I
10982.1,a,S I
10984.44,3dnl,S I
11013.25,1,Fe I
11015.59,-1,Cr I
11109.47,-302,At I
11119.81,1,Fe I
11125.91,-3N,C I
11212.3,1,Fe I
11239.9,1,CNT
11244.36,1,Ti I
11246.95,2,Ti I
11390.82,3,Cri
11392.64,-1,Fe I
11403.8,5,Na I
11422.38,8,Fe I
11428.51,-3,Fe I
11433.38,1,Fe I
11439.12,10,Fe I
11479.79,-3,Fe I
11481.5,-1N,ó
11500.64,-2N,Fe I
11502.68,3N,Si I
11542.92,1,Fe I
11572.57,1,Cr I
11573.25,1,Fe I
11591.41,1,S I
11593.65,1,Fe I
11602.08,1,Ci I
11602.88,1,Fe I
11607.59,1,Fe I
11610.56,1,Cr I
11611.44,1,Si I
11630.5,1,Ci I
11638.22,1,Fe I
11643.41,1,Fe I
11654.44,1,C I
11659.7,1,Fe I
11670.61,1,Fe I
11672.85,1,Cr I
11679.56,1,Fe I
11690.01,1,Fe I
11728.48,1,Fe I
11748.28,1,C I
11753.42,1,C I
11754.84,1,C I
11769.72,1,K I
11777.61,1,C I
11797.55,1,Ti I
11801.1,1,C I
11828.2,1,Mg I
11848.79,1,C I
11862.99,1,C I
11879.66,1,CT
11890.48,1,S I
11892.9,1,C I
11949.77,1,Ti I
11984.5,1,S I
11991.63,1,S I
11994.0,1,Fe I
12031.56,1,Si I
12053.17,1,Fe I
12083.79,1,Mg I
12103.62,1,Si I
12227.06,1,Fe I
12239.53,1,Fe I
12245.12,1,Fe I
12423.36,1,Ca I
12557.11,1,Fe I
12569.06,1,C I
12581.68,1,C I
12586.69,1,Fe I
12588.92,1,Fe I
12601.6,1,C I
12615.98,1,Fe I
12818.33,1,Paschen$\beta$
