wavelength,ew,id
3593.340,88,V II
3593.997,40,Ca I
3594.638,146,Fe I
3594.876,92,Co I
3595.308,74,Fe I
3596.054,95,Ti II
3596.509,22,Co I
3597.047,86,Fe I
3597.712,181,Ni I
3598.182,8,Ce II
3598.720,60,Ti I
3598.986,87,Fe I
3599.544,18,Ni I
3599.970,58,Fe I
3600.739,69,Y II
3601.198,13,Zr I
3601.664,51,Cr I
3601.922,57,Y II
3602.544,172,Fe I
3603.210,119,Fe I
3603.578,106,Fe I
3603.950,43,Fe I
3604.378,75,Fe I
3605.201,26, Fe I
3605.339,495,Cr I
3605.916,75,Fe I
3606.694,271,Fe I
3606.854,18,Ni I
3607.533,66,Mn I
3608.155,82,Fe I
3608.491,38,Mn I
3608.869,1046,Fe I
3609.328,69,Ni I
3610.166,231,Fe I
3610.460,250,Ni I
3611.050,80,Y II
3611.723,61,Co I
3612.075,118,Fe I
3612.744,160,Ni I
3613.109,139,Zr II
3613.449,86,Fe I
3613.809,194,Sc II
3614.561,98,Fe I
3614.891,28,Fe II
3615.665,71,Cr I
3615.962,37,Fe I
3616.570,92,Fe I
3617.011,36,Fe I
3617.321,82,Fe I
3617.796,124,Fe I
3618.304,110,Fe I
3618.777,1410,Fe I
3619.400,568,Ni I
3620.247,51,Fe I
3620.468,76,Fe I
3621.201,72,V II
3621.467,140,Fe I
3622.009,127,Fe I
3622.555,3.5,Eu II
3623.192,105,Fe I
3623.450,97,Fe I
3624.118,139,Ca I
3624.733,132,Ni I
3624.839,122,Ti II
3625.501,49,Fe I
3626.187,50,Fe I
3627.061,56,Fe I
3627.623,40,Mg I
3627.813,98,Co I
3628.707,57,Y II
3628.828,64,Fe I
3629.737,48,Mn I
3629.905,47,Ni I
3630.355,84,Fe I
3630.754,133,Ca I
3631.475,1364,Fe I
3632.049,117,Fe I
3632.560,72,Fe I
3633.076,134,Fe I
3633.512,47,Zr II
3633.835,92,Fe I
3634.332,136,Fe I
3634.952,129,Ni I
3635.469,97,Ti I
3636.238,132,Fe I
3636.485,92,Zr II 
3637.058,112,Fe I
3637.255,68,Fe I
3637.873,93,Fe I
3638.304,153,Fe I
3639.030,34,V I 
3639.450,69,Co I
3639.804,76,Cr I
3640.394,132,Fe I
3641.228,11,Fe II
3641.335,109,Ti II
3641.792,72,Co I
3642.682,93,Ti I
3642.806,150,Sc II
3643.627,113,Fe I
3643.811,81,Fe I
3644.417,141,Ca I
3645.082,97,Fe I
3645.313,132,Sc II
3645.827,103,Fe I
3646.504,23,CH
3646.988,58,Ce II
3647.428,94,Fe I
3647.851,970,Fe I
3648.530,23,Cr I
3648.998,52,Cr I
3649.511,134,Fe I
3650.037,115,Fe I
3650.285,115,Fe I
3651.197,31,Nb II
3651.474,136,Fe I
3651.800,114,Sc II
3652.551,70,Co I
3653.120,7.5,Ce II
3653.501,98,Ti I
3653.912,102,Cr I
3654.598,64,Ti I
3655.003,50,Fe I
3655.472,88,Fe I
3655.851,15,Ce II
3656.265,116,Cr I
3657.137,72,Fe I
3657.711,57,Ni I
3658.099,71,Ti I
