wavelength,ew,id
3556.597,23,Zr I
3556.689,95,Fe I
3556.803,143,V I
3556.896,243,Fe I
3557.064,5,Gd I
3558.072,30,Fe I
3558.21,6,Fe I
3558.532,485,Fe I
3558.783,38,Co I
3559.079,41,Fe I
3559.207,25,Fe I
3559.814,24,Cr I
3559.923,48,N I
3560.076,42,Fe I
3560.296,23,Co I
3560.589,62,V I
3560.704,75,Fe I
3560.802,32,Ce I
3560.897,82,Co I
3561.136,16,Co I
3561.582,58,T I
3561.656,8.5,Hf I
3561.757,77,N I
3561.903,57,Fe I
3562.096,32,Co I
3562.27,40,Fe I
3562.607,11,Fe I
3562.926,37,Co I
3563.159,20,Dy I
3563.611,23,Fe I
3563.716,4,V I
3563.926,4,Cr I
3564.126,71,Fe I
3564.279,2.5,Cr I
3564.398,12,Ca I
3564.565,71,Fe I
3564.683,11,Fe I
3564.959,70,Co I
3565.129,7.5,Cr I
3565.306,13,T I
3565.396,990,Fe I
3565.596,49,Fe I
3565.838,16,Fe I
3565.972,41,T I
3566.088,13,Zr I
3566.175,53,V I
3566.315,9.5,Fe I
3566.383,458,N I
3566.589,28,Fe I
3566.922,38,Sm I
3567.042,82,Fe I
3567.377,58,Fe I
3567.696,110,Sc I
3567.944,22,N I
3568.248,28,Sm I
3568.448,70,Fe I
3568.55,5,Tb I
3568.829,72,Fe I
3568.983,82,Fe I
3569.142,6.5,Cr I
3569.384,116,Co I
3569.51,86,Mn I
3569.819,37,Mn I
3570.044,10,Mn I
3570.134,1380,Fe I
3570.276,42,Fe I
3570.597,6,Fe I
3571.233,60,Fe I
3571.875,237,N I
3572.016,64,Fe I
3572.321,39,Fe I
3572.478,106,Zr I
3572.573,112,Sc I
3572.751,30,Cr I
3573.067,40,Fe I
3573.278,6,N I
3573.402,66,Fe I
3573.511,21,V I
3573.735,84,T I
3573.836,156,Fe I
3574.158,7.5,Dy I
3574.253,45,T I
3574.36,24,V I
3574.584,5.5,Fe I
3574.805,50,Cr I
3574.967,90,Co I
3575.121,75,Fe I
3575.252,83,Fe I
3575.374,115,Co I
3575.765,34,Zr I
3575.994,90,Fe I
3576.253,12,Dy I
3576.329,116,Sc I
3576.766,87,Fe I
3576.863,44,Zr I
3577.245,39,Ni I
3577.465,47,Ce I
3577.875,105,Mn I
3577.998,12,Co I
3578.1,48,Co I
3578.218,14,Zr I
3578.693,488,Cr I
3578.907,13,Co I
3579.045,14,Co I
3579.835,34,Fe I
3580.087,9,Mn I
3580.412,20,Fe I
3580.927,54,Sc I
3581.209,2144,Fe I
3581.665,36,Fe I
3581.817,29,Fe I
3581.941,24,Fe I
3582.091,12,Zr I
3582.205,64,Fe I
3582.331,33,Fc I
3582.437,17,Fe I
3582.571,40,Fc I
3582.698,72,Fe I
3582.877,19,Fe I
3582.964,16,Fe I
3583.339,122,Fe I
3583.597,11,Fe I
3583.697,112,Fe I
3583.911,96,Fe I
3584.097,34,Fe I
3584.257,5,Fe I
3584.317,10,Cr I
3584.383,25,Fe I
3584.52,44,Y I
3584.661,182,Fe I
3584.8,72,Co I
3584.965,78,Fe I
3585.074,8.5,Dy I
3585.17,45,Co I
3585.339,839,Fe I
3585.518,35,Cr I
3585.714,168,Fe I
3585.907,50,Ni I
3586.118,122,Fe I
3586.544,74,Mn I
3586.75,42,Fe I
3586.99,532,Fe I
3587.146,3.5,T I
3587.23,250,Co I
3587.357,7,Fe I
3587.429,54,Fe I
3587.76,112,Fe I
3587.943,129,N I
3588.122,35,V I
3588.325,36,Zr I
